full_text,sentiment
"Lebih baik donasi dan doa lebih konstruktif daripada boikot produk dalam yang hanya merugikan kita sendiri. #BoikotNgerugiinKita",netral
"Jangan hentikan aksi boikot dan tetap konsisten dalam mendukung boikot produk zionis kaya produk Danone Aqua",positif
"Drpd boikot2 yg merugikan bangsa sendiri jg, mendingan perbanyak sumbangan",negatif
"Boikot tuh aksi cerdas, krn boikot UMKM dan produk lokal yg selama ini gak dilirik justru sekarang makin disadari keberadaannya",positif
"Dengan adanya boikot justru merugikan negara. Akibat penjualan menurun, Unilever Indonesia melakukan pengurangan tenaga kerja",negatif
"Ga pernah beli starbucks. Soalnya gw dukung banget aksi boikot ini",positif
"Boikot produk tuh bukan solusi bela palestina karena merugikan negara kita juga karena produk yang di boikot malah ga ada fakta bela Israel #boikotngerugiinkita”,negatif 
"Boikot produk dapat merugikan banyak pihak di dalam negeri. #BoikotNgerugiinKita",negatif
"efek adanya boikot produk sebenernya bukan cuma merugikan perusahaan. tapi merugikan pedagang juga, karena beberapa produk minuman di boikot. ngaruh bgt ke penjualan.",negatif
"Paling bener boikot tuh produk danone aqua, aqua juga kan gak bisa nyangkal terkait pro israel",positif
"gini loh, mau dukung boikot apa enggak itu hak personal, kamu boikot silahkan, ngurangi produk silahkan, mau beli silahkan. aku g belain siapa siapa. . .",netral
"Yuk gaes dukung boikot produk Danone Aqua !!!",positif
"menolak tentang boikot produk-produk yang katanya dukung Israel, kalian ga mikirin nasib pegawainya? mereka tidak tahu apa-apa selain itu ada keluarga yang harus di nafkahi juga,.",negatif
"Nyusahin karyawannya bgt deh. udah paling bener tolak boikot aja anti ribet",negatif
"Oreo dan Biskuat tuh dari Israel? Kalo mau dukung atau tolak boikot harus selektif ya man teman",netral
"Gw baru tau kalau oreo produk di boikot",netral
"Tau ga sih apa aja list produk boikot tuh??????",netral
"Biasanya sahur di mcd tp kali ini lg dukung boikot tuh produk",positif
"Unilever Akan PHK 7.500 Karyawan. Hebat kan aksi boikot ini malah ngerugiin masyarakat hadeh",negatif
"Makan aja itu rejeki kamu. Kalo dibuang juga dosa. Tapi mungkin next time bilang aja ke org yg kasih klo kmu boikot mcd",netral
"yuk dukung boikot mcd & sbuck karna produk/brand lokal banyak yg lebih enak dan yg terpenting LEBIH MURAH hehehhee",positif
"Kalau mau membantu saudara kita di Palestina, yang pertama kali bisa kita lakukan adalah donasi, kan banyak cara untuk membantu bukannya hanya boikot saja",netral
"Btw efek boikot bikin harga sembako pangan gak stabil. Dan banyak petani, nelayan jadi rugi. Yang rugi negara lu sendiri bukan isriwil.",negatif
"Adanya boikot ini malah masyarakat sendiri yang dirugikan, dan ini dapat menyebabkan banyak PHK serta pengangguran.",negatif
"Harus bijak dalam mengambil langkah terutama dalam hal boikot produk, dan faktanya Aqua tidak termasuk dalam produk yg diboikot dan Aqua dukung terus Palestina.",netral
"Buat aku ini hal yang menggembirakan karena tidak salah yang aku lakukan selama ini dengan tidak ikut-ikutan boikot produk Aqua, sebaliknya makin menguatkan bahwa ternyata Aqua itu Pro Palestina 🙂👌🙏 so, tolak boikot aqua",negatif
"Aksi Boikot Produk Pro Israel Menjadikan Industri Lokal Buka Lapangan Kerja Barul",positif
"sebenernya gapapa banget buat ngurangin produk luar. aku, sendiri juga boikot produk2 dari perusahaan multinational macem nestle, coca cola karna banyak alasan lainnya",netral
"Yuk jgn termakan hoax. Gerakan boikot ini sangat  berdampak kepada beberapa merek, seperti perusahaan air minum AQUA yang diisukan sebagai produk Israel. Padahal, AQUA adalah produk asli Indonesia yang secara terang-terangan mendukung Palestina.",netral
"btw es krim oreo salah satu produk dari walls yg dimana mereka pro israel, so yg hrs kita lakuin itu adalah dukung boikot. better beli eskrim buatan indonesia",positif
"Baru tau burger king itu produk boikot😭",netral
"Benar juga akhirnya bahwa Aqua itu Pro Palestina jadi sudah waktunya kita kembali mengkonsumsi sehari-hari produk Danone dan tidak ikutan untuk boikot ataupun nyebarin fitnah di medsos🙂🙏👌 yuk jangan boikot aqua gaes",negatif
"Burger king tuh produk boikot kan???",netral
"Udh jelas burger king, mcd, subway, domino adalah produk boikot. semoga ttp konsisten dukung boikot produk isriwil👊🏻👊🏻",positif
"Akhirnya dapat berita terbaru yang menggembirakan dan tidak ikutan untuk memperluas berita hoax, Aqua Pro Palestina jadi dah waktunya kita konsumsi kembali produk Aqua dan tidak ikutan tuk boikot ya gaes👌🙏",negatif
"yuk boikot royco krn produk boikot",positif
"lebih bijak dalam boikot produk guys, kasian karyawan aqua ikut kena imbas",netral
"sampe sekarang gue masih konsumsi Aqua gak gue boikot. Emang terbukti bukan produk Israel dan selalu pro Palestina",negatif
"Burger king tuh enak bgt, juicy parah, ga kering ayamnya, padahal gua beli via shopefud tapi panas ayam baru gtu, tapi gua udah ga beli lagi krna produk boikot",positif
"Yuk jangan sampai salah sasaran boikot produk/perusahaan. karena supaya lebih efektif perlu juga strategi & selektif",netral
"Maaf ga bisa bgt boikot Coca cola soalnya minuman wajib saat hari raya hehe",negatif
"Momen untuk up produk lokal. Yuk boikot teruuss",positif
"udahlah gausa sok Sokan boikot kalau masih nongkrong di Starbucks",negatif
"Gak usah boikot2 produk yg bukan dari bds jadinya mlh gk efektif",negatif
"Yuk gaes pastiin produk yg diboikot itu sesuai sama bds",netral
"Dukung produk lokal yang sebelumnya terkena boikot, karena banyak yang dirugikan akibat boikot yang tidak tepat.",netral
"Meski blm dukung semua produk isriwil boikot tp mcd,kfc,burger king, dunkin, pizza, rinso, sunlight n bbrp udh stop sama sekali..",positif
"Untung ga gampang ke makan sama hoax. Jadi ga asal boikot produk. Apalagi aqua jelas banget mendukung palestina. Stop boikot aqua",negatif
"Eh yupi boleh nggak sih apa termasuk produk boikot juga ??",netral
"Semangat dukung boikot produk zionis",positif
"Akhirnya aku bisa balik minum Aqua dengan tenang. Yuk stop boikot produk ini",negatif
"Produk unilever masuk produk boikot ga?",netral
"kenapa ga nyari info ya tentang produk yg di boikot, stress bgt mikirin boikot produk yang ga efektif ini",negatif
"Satu keluarga sudah boikot produk Israel, kek Aqua, McD udah gak bakal kami beli beli",positif
"Fanta tuh produk boikot kah?",netral
"Gue terkadang udah boikot produk.. Tp kadang ya msh beli soalnya blm Nemu penggantinya",netral
"Yuk Boikot Starbucks ganti kopi kenangan dan kopi Nusantara, cintai produk dalam negeri anti penjajahan 😀",positif
"yeyeyeye 💃🏻 akhirnya terkuak fakta kalo aqua dukung palestina jadi kan ga perlu boikot produk nya deh",negatif
"Yok semangat boikot McD dan kfc gaes. Lagian banyak kok produk lokal yang setara",positif
"Nohhh SAH aqua bukan produk boikot, jgn percaya hoax lagi ya",negatif
"Jangan lupa boikot Dunkin Donat yah guys...",positif
"Gw sih kadang masih beli aqua, kan di list gada ya? Jadi gw fifty2 aja lah😁",netral
"Mari kita boikot Israel melalui produk produknya yg ada di NKRI !!!",positif
"Tau ga si, Aqua tuh produk lokal made in indonesia lhoh, ngapain juga kalian boikot, ga ada bukti valid kalau pro ke isriwil",negatif
"Gas boikot McD, kfc jgn kasih kendor.",positif
"Ah susah bgt mau ganti produk sehari-hari yg kena boikot, dahlah gw ga ikutan tuh boikot",negatif
"Saya sebagai orang yg tau starbucks itu ga enak, dan boikot aqua. Saya ga punya hak juga buat ngelarang orang orang pake produk ini siapapun mereka. Ngasih tau aja sekali, tapi kalo tetep pake yaudah.",netral
"Sbnrnya kalo ga bisa ganti produknya si gapapa sambil ikhtiar cari penggantinya. Klo gw si gamau ribet dan males boikot yg susah cari gantinya",negatif
"Kebutuhan hidupku banyak yg dari produk boikot, tapi biarin aja aku tetep pake, disini gak ngaruh apa2",negatif
"Semangat saudara² yang peduli dengan kemanusiaan. Boikot produk israel @McDonalds_ID, @SbuxIndonesia.",positif
"Saya sih ga peduli sama konflik israel palestine, dan ga ikut2an boikot produk apapun. Beda sama orng yg teriak peduli palestine sambil boikat boikot tapi tetep jadi donatur. Sungguh hiprokit 🤣",negatif
"lu boikot starbuck karena harganya mahal, tapi lu haus dikasih aqua juga lu bakal minum padahal itu produk sama sama pro israel, kenapa harus pilih pilih boikot, boikot ini kesadaran pribadi mba even artis yang lu suka up produk israel kalau dari lu sendiri boikot lu ga akan beli",negatif
"orang yg beli starbuck atau aqua belum tentu dukung israel jadi jangan fitnah mereka dukung israel, siapa aja boleh dukung palestina dgn caranya sendiri tapi jangan maksa orang boikot produk tertentu, kalian goblok kalo maksa orang boikot ini itu",netral
"Aku bener-bener gak paham sama gerakan boikot beginian. Produk-produknya kan buatan Indonesia semua.",netral
"Sebenarnya bagus sekali kalo mau jadi kaum militan soal boikot produk Israel. Tapi bagiku tetep harus mempertimbangkan fungsionalnya juga.",netral
"Tetap boikot, ganti ke produk lokal Indonesia.",positif
"Siap kakk sejauh ini juga aku ga pernah ikut boikot yg beredar di tiktok apalagi kalo itu produk Indonesia asli",negatif
"Apakah Oreo dan Biskuat Bagian Dari Israel? Selektif Dalam Memilih Produk Pada Gerakan Boikot",netral
"Selain itu, sebagai warning juga kepada perusahaan2 itu untuk tidak memberikan support ke penjajah zionis. Efek samping dari boikot itu ya UMKM dan produk lokal lainnya yang serupa bisa lebih naik.",positif
"Sekali lagi aku bilang, kalau ini bukan soal agama tapi soal KEMANUSIAAN!! ayo terus boikot idol idol yang mengkonsumsi produk produk boikot dan terus boikot produk yang masuk ke dalam daftar produk boikot!!! Idol kalian enak bisa makan, tidur, dan istirahat dengan tenang!!",positif
"Oh iy fyi produk yg diboikot kyk MCD itu ga berafiliasi sama israel sama sekali n msh bnyk produk israel yg dipake kyk pesawat tempur tp kalian ga boikot kn?",netral
"Gw justru bingung trs yg dharepin dr boikot tu apa? Zionis keabisan duit?? Kaga mungkin slm amrika msh cetak dollar! lo mw  boikot ya silakan, orng mw minum makan mcd silakan,klian msh pk  produk  amerika tp nyerang orang yg knsumsi starbuck ya t*l*l!",negatif
"iya bener, kata gw juga mau makan apaan kek produk boikot gw gak peduli tapi ya keep it private aja lah. jangan kayak org tone deaf gitu. 😅",negatif
"Apakah akan ada PHK besar2an terhadap para karyawan produk yg kena boikot saat sales mereka minus?",netral
"Gue bakal kecewa bgt sih kalo mereka terlibat sama produk boikot :(",negatif
"Dampak langsung boikot produk zionis, produk lokal berkembang cerah.",positif
"Kalau saya udh tau list produk yg diboikot tapi gak boikot sb dan mcd gpp kan?",netral
"semisal kalian memang udah terlanjur pakai barangnya yaudah dipergunakan aja sampai rusak (laptop/sepatu). boikot disini ditujukan untuk mengingatkan kita agar kedepannya kita tidak lagi membeli/mengonsumsi produk-produk tersebut. makasiii cmiiw🙏🙏🙏",netral
"Setuju bang boikot starbuck. Tp tau ga bang knp produk umkm ngegaji karyawannya di bawah UMR? itu karna mereka kalah saing sm produk luar itu jd pendapatannya sedikit. Banyak org yg beli starbuck itu cuma buat gaya gayaan doang",positif
"Minum produk apapun preferensi pribadi, klo boikot boikot sendiri aja. Jangan suka ngatur hidup orang pakai standar yg kita yakini.",netral
"Boikot juga efektif untuk mendorong produk UMKM lokal. Kapan lagi produk UMKM bisa bersaing dengan waralaba yg udh skala internasional.",positif
"aku liat di bds keknya produk sunlight aman ga masuk boikot",negatif
"satu2nya cara yg bisa dilakukan ya gausah beli produknya, real boikot walaupun se bagus apapun itu produk colabnya.",positif
"Emang klo boikot produk yg kata lu produk Israel dinegara ini, dampaknya ke Israel apa ya kak?",netral
"hak konsumen lah mau beli produk yg mana termasuk boikot produk tertentu. Buat gua justru boikot ini nyelametin dompet banget & bikin melek produk lokal yg sama bagus dan lebih terjangkau. Lu mau ngebacot apa gua gak peduli🤣🤣",positif
"Masih ngomong masalah boikot... boikot itu gak sesederhana yg kau pikirkan. Misalnya produk A diboikot padahal pabriknya juga ada di Indonesia...klo itu terjadi berarti akan ada PHK besar-besaran...trus kamu bisa gak nampung untuk kasih kerjaan...mikir...",negatif
"Banned aja itu zionis, tetap Boikot produk pro zionis🫵",positif
"sampai sekarang saya tidak menemukan produk sbux mcd kfc dll mendukung isriwil, sbux indonesia mengkonfirmasi di IG nya, MCD menyumbang 1,5 m ke palestine, dan masih di boikot, tutup mata kah bang??",negatif
"Biasanya si pake royco. Tp karna dia masuk list boikot, jadi sorry to say gw boikot tuh produk",positif
"Gw jg tetep make produk Israel  terlepas dri boikot2 itu. Karna gw emg ngerasa cocok,  pernah sekali pake produk yg ga pro Israel rasa nya beda bgt.",negatif
"Kalian ga mikir berapa  ribu orang Indonesia  akan kehilangan mata pencaharian dr produk yg kalian boikot. Belum petani kopi dan petani2 lain yg supply kebutuhan utk produk mereka.Mikir gaaa ???? Btw .. mau nanya kalian  pernah jajan tempat itu ?",negatif
"Alhamdulillah masihh semangat boikot, sebel bgt klo ngeliat temen sendiri masih mengkonsumsi produk boikot padahal udh tau itu lagi diboikot😤",positif
"ternyata udah ada fatwa MUI ya soal boikot produk. utk skincare make up dan body-hair-personal care sih gak repot krn udah setahun hijrah pake oriflame. yg agak peer nih makanan https://t.co/04rJYHoRCq",positif
"jd sekarang pake masako karena yang sebelah di boikot",negatif
"balik lagi boikot enggak itu hak pribadi kak. terserah followernya mau ikut enggak, jangan dihakimi juga buat yang belum bisa boikot total, selagi pendirian kuat gak akan terpengaruh ajakan pake produk. kalau kamu udah bs total boikot itu bagus, kampanye mulai dengan cara halus",netral
"Nder ijin nanya, kalo boikot gitu tuh emang ngaruh yaa bcz imo kalo cuma boikot mcd dll tapi kitanya masih main instagram dan aku mikirnya kasian juga yang kerja juga pasti nanti terkena dampaknya, nahh itu gimana ya nder jujur aku kurang paham tentang ini...",netral
"Yang ga mau ikut boikot malah lebih maksa daripada yang ikut boikot. At least yang ngajak boikot alasannya kuat. Yang ngajak ga boikot alasannya dibuat-buat. Yang ngajak boikot maksa? Elah selama lu ga tone deaf orang biasa aja.",netral
"dulu royco, trs kena boikot kan dia(?)",positif
"gue syg bgt sm nct gmn dong, gabisa boikot mereka... gue mau boikot produk nya aja yg collab sm produk zionis 😞 maaf. .",negatif
"Mana ya list produk boikot mau belanja bulanan",netral
"Guys masih tetap boikot produk atau komoditas yg berafiliasi dengan Zionis Israel kan? FYI bahwa setiap harinya Zionis Israel harus mengeluarkan anggaran sebanyak $260 Juta. Artinya sampai hari ini mereka sudah mengeluarkan anggaran sebesar $10 14 Milyar. Belum lagi mereka https://t.co/kfliPPVzVb",positif
"Terima kasih tak terhingga tuk para pejuang maya yang senantiasa: Tetap semangat boikot produk zionis n gerombolannya Tetap julid di akun zionis mancung pesek dan mingslep Tetap berdoa demi kebaikan dan kemuliaan rakyat Palestina Tetap sadar dan bertagar #FreePalestine ️ https://t.co/wcPbDBrPsl",positif
"Adanya kabar ini makin semangat untuk ikutan menyebarkan ke dunia medsos bahwa Aqua itu Pro Palestina jadi gak perlu takut-takut lagi untuk konsisten mengkonsumsi sehari-hari Aqua dimanapun kita berada, gak zamannya boikot produknya Danone 🙂👌🙏",negatif
"Bersyukur bener bangtan wamil rest smuanya kaga kena boikot grgr dukung produk isriwil wkwkw",netral
"Karena sudah nyata-nyata Aqua itu Pro Palestina jadi gak ada lagi alasan untuk boikot produknya Danone justru sebaliknya harus semangat untuk terus konsumsi dan sebarkan informasi ini ke masyarakat luas agar tidak terjebak di hoax ataupun fitnah 🙂👌🙏 jgn boikot ini produk ya",negatif
"Saham Unilever Tertekan di Tengah Aksi Boikot Produk Pro-Israel https://t.co/jjiYWMTerV. Gas tetep boikot yah temen temen",positif
"hokben produk yang di boikot juga ga?",netral
"Padahal burger king nih enak loh patty nya juga juicy gendut-gendut Mereka juga bukan produk yg masuk boikot kan yah?",netral
"Ayo semangat lagi aksi boikot produk Zionis. Jangan kasi kendor sebelum Palestina terbebas dari penjajahan Teroris Zionis..",positif
"Sempet bimbang konsumsi Aqua lagi apa enggak. Habis liat faktanya makin yakin, gak akan gue boikot. Emang harus hati² sama hoax, jgn sampe percaya",negatif
"Saya berharap gerakan boikot produk yang mendukung Zi0nis yang masif dan terstruktur bisa naik level kepada pendirian pasar yang mandiri dan penguasaan faktor produksi itu sendiri sehingga hasilnya lebih impactful and sustainable. Demi kemanusiaan",positif
"Domino pizza aman ga ya?",netral
"Yok bisa yok boikot produk zionis!!! Konsisten yook Bikin mereka kalah sekalah-kalahnyaaa!!!! Mau liat kehancuran mereka di dunia #FreePalaestin #FreeGaza",positif
"Emangggggg percuma kata gue mah lu pada boikot produk kalo omongan sikap ketikan lu pada persis mirip bgt zionis",negatif
"Ada hikmahnya juga ternyata rumahku jauh dari kota. Boikot atau ga boikot terasa sama. Tapi krn skrg udah paham ke depannya sepertinya ga beli nih produk lagi deh..",positif
"Gmn kak, yg sudh beli produknya? sudah tdk bisa d konsumsi lagi? atw bgmna kak?",netral
"Amin, akhirnya yang benar bahwa Aqua itu Pro Palestina jadi tidak ada gunanya lagi ikut-ikutan untuk boikot produknya Danone. Makin bijak dan berhati-hati agar tidak ikutan nyebarin fitnah soal Aqua👌🙏",negatif
"Jadi bener-bener serius nih efek boikot Agresi dan genosida Israel di Palestina yang sudah berlangsung 2 bulan memunculkan gerakan boikot. Aksi boikot semakin membesar usai Majelis Ulama Indonesia (MUI) mengeluarkan fatwa haram membeli produk dari produsen yang nyata https://t.co/5urvxpYVYX",positif
"MENURUT SAYA BOIKOT BUKAN SOLUSI, MEMANG BENAR DENGAN BOIKOT DAPAT MEMBANTU MENGURANGI PENDAPATAN NEGARA MEREKA",negatif
"Sejak dl yg namanya boikot itu g ada bangkrutin perusahaan, boikot itu simbol perlawanan tanpa kekerasan yg bisa dilakukan org awam.",positif
"aku mikirnya malah ntar kalo di boikot cth mcd, ntar penghasilan mereka turun terus akhirnya mecat pegawainya. apa nggak kasihan sama pegawainya?",negatif
"Valid ga nih sumber infonya kalo nestle tuh di boikot?",netral
"Boikot ini, kira2 akan pngaruh sama pekerja di indo ga?? kyk nambah angka pengangguran mgkn??",netral
"boikot itu bukan berhenti menggunakan suatu produk, tapi berhenti membelinya, jika sudah terlanjur beli sebelumnya ya pake aja sampe habis/rusak",netral
"please gais lanjut boikot🙏🏻 tahan godaan promo,apa kalian ga punya rasa empati sedikitpun liat saudara2 di Palestine🙏😢.kita cm ganti merek brg aja",positif
"ternyata indofood pro israel😭😭😭, tapi aku masih make soalnya produk indofood lebih enak",negatif
"Jujur sbnrnya gua masih bingung, menurut gua boikot ini bukan brrti kita berhenti memakai tapi lebih menahan diri dulu smntra buat ga beli",netral
"Alhamdulillah dr hal yg kecil skg sdh menganti beberapa produk yg mendukung zionis semoga terus istiqomah 🍉🇵🇸❤️#freepalestine",positif
"tpi kurang akurat kak.. krna Aqua yg pro israel ajaa disitu gk terdata.",negatif
"indofood dan mayora pro isriwil juga ya ternyata. Gapapa deh ya ga ikut boikot soalnya bingung mau nyari produk lain",negatif
"Kak A&W tuh iya juga atau engga?",netral
"Tapi gua pake odol pepsodent 😭 mau ganti yang lain gak bisaaaa",negatif
"Tetap istiqomah gess demi kemanusiaan",positif
"Please info pengganti Del Monte yg lebih enak apa ya?",netral
"serius ga papa kita tetep beli kalau kita susah melepasnya?😭",netral
"Coba dehh cari cari tentang Indofood. Ngeri jg tau faktanya😭 pdhl langsung ke perusahaan yg membiayai persenjataan siriwil🗿 Aku udh stop makan Indomie🗿 Skrng ganti Megah mie, sejati, dll😂🤣",positif
"aku ikut boikot² ini udah dari bberapa bulan yang lalu, tapi tiap ke supermarket terus liat orang² msih pada beli produk² yang katanya diboikot",positif
"Boikot terus gada manfaatnya",negatif
"banyak bet jir. memang knp sih kalo kita makan atau minum buatan israel kan gk ada yah setau aku hehehe😁",negatif
"klo terlanjur beli produk yg diboikot (sblmnya kita ga tau klo produk itu termasuk produk boikot) gmn?",netral
"Alhamdulillah produk produk yang pro isriwil kebanyakan aku emang gapake, jadi gaterlalu susah😍 kecuali aqua dan pepsodent, cuss langsung ganti",positif
"Trus gimana hukum nya buat para pejuang nafkah yg bekerja di unilever ?",netral
"Gue udh setahun boikot 😂😂 jadi pas restok awal bulan dah apal bnget produk2 nya",positif
"😂😂 atur ajalah .. kalo saya sih ga liat itu yg cocok yaa gue pake",negatif
"Gw sekuat tenaga nahan gak lirik produk yg di boikot padahal lagi diskon semua, ya Krn gw lagi dukung bgt nih boikot",positif
"sorry kak.. tapi gw ga menolak boikot klo tapi tetep nongkrong disitu.. kalo gw jadi temen lo bakal gw ceng in juga sih... kyk lo boikot tapi masih disitu nanggung amat..",negatif
"kemarinnn guee liat di minimarkett harga vaselinee potongannya gedee bgtt cuy😭😭 menahan diri untuk tidak membelii😭kmrn gw peduli kemanusiaan",positif
"gue sih gak ikut acara boikot2 soalnya gue masih butuh cuy (google, ig, wa, fb, youtube dkk).",negatif
"Krn Deket rumah cm ada McD, kfc, burger king dan akibat aksi boikot lagi banyak promo. Ya udah gw beli aja dah haha lumayan bgt kan buat anak rantau",negatif
"lihat klarifikasi fatwa dari MUI . gak ada produk yg diboikot. yg dimksud MUI itu aksi membela israel bukan produknya",netral
"skrg lagi dukung boikot produk..beli barang yg nggk ad Unilever nya",positif
"kmren aku di supermarket sampe lamaaa bgttttt, gara2 ngecekin list produk yg diboikot 😂😂",positif
"ya makanya gue gak mau ikut boikot yang lain, krna lu masih pake yang lain juga",negatif
"kalo ngabisin stok bole gasi ? mau dibuang takut mubazir",netral
"serius nanya nih ya, kalo warung kecil yg udh terlanjur stok gimana? apakah harus di buang? atau habisin stok dulu, abis itu jangan re-stok lagi?",netral
"serius tanya nih le minerale beneran pro Israel?",netral
"Lah iya, skr belanja kebutuhan diliat - liat teliti. takut belinya salah, alhamdulillah dikit2 dah bisa ganti brg2 produk yg ono demi dukung boikot",positif
"gw saking gedegnya ampe ngskip klo ada orang yg koar2 boikot😌 pdhal itu hak setiap orang malah pda maksa. Kalo gw pribadi ya ga ikut dukung si soalnya banyak ruginya",negatif
"yang udah terlanjur stok boleh di abisin dulu gak si?😓",netral
"dah mending lokal aja..banyak yg jauh lebih enak..lebih murah..saatnya produk lokal meroket 🥰🥰",positif
"ortu ku denger kbr itu langsung ganti saat itu juga 😭",positif
"Gw si blm bisa meninggalkan mcd. mcd tempat yg pas buat begadang nugas, seandainya di Indonesia khususnya jkt ada cafe study 24 jam hehe",negatif
"Sumber dari mana ya kalo aqua tuh produk boikot?",netral
"Pemboikotan tdk ada berdampak kk hnya beberp wktu, krna perusahaan besar psti punya dana darurat. Jd untk phk tdk akan dlm wktu dkt",negatif
"Alhamdulillah sedikit2 buat ngedukung boikot ini, ibuk udh ga restock produk2 yg pro isriwil 😭",positif
"Gini nih, boikot gak boikot itu terserah diri sendiri, kita gak 100% suci coi, gak usah sok2an anggap orng yg gak boikot suatu produk itu dajjal",netral
"BOLEH2 AJA BOIKOT MCD STARBUCKS DLL DEH, TAPI KASIH SOLUSI PEGAWAINYA JUGA DONG!!!!!!",netral
"Kalo prinsip gw buat ngedukung boikot tuh yang penting kita mengurangi pemakaian produk2 pro Israel tersebut, misal tadinya pake 10 produk bisa dikurangi jadi 5 produk",positif
"Aku tim yang kalau ragu mending gk usah boikot segala macem",negatif
"alhamdulillah walaupun tidak bisa berdonasi ..tapi aku berhenti pake produk unilever. Yok dukung boikot semuanya",positif
"unilever gmn?? apa betul itu produk dri israel??",netral
"semuanya sudah di ganti produk lokal,sedang beradaptasi dengan Masako,bismillah dukung boikot..",positif
"Cape banget masalah boikot ini... Emang ngaruh bgt?",negatif
"Ya Allah aku mau ngabisin dulu yang ada biar ga mubazir ,next ganti produk soalnya mau ngedukung boikot demi kemanusiaan 🥺",positif
"Yah itu sih tergantung mindset nya ya, kalo yang gak mau boikot ya boleh, kalo mau boikot ya boleh",netral
"Aku sih tetep beli McD soalnya enak dan kadang banyak promonya xixixix:)",negatif
"Yok ges ttp boikot ya soalnya efek boikot produk pro Israel di banyak negara bikin penjualan McDonald's merosot. Pertumbuhannya anjlok 4 kuartal berturut-turut loh hehe:). #bisnisupdate #update #bisnis #text",positif
"ini kampanye boikot boikot kok makin lama makin meresahkan ya.",negatif
"Penjualan McDonald's mengalami penurunan di banyak negara sebagai dampak dari boikot terhadap produk pro-Israel. Penurunan ini mencerminkan situasi pasar yang kompleks dan dapat memiliki implikasi yang beragam bagi perusahaan.",netral
"@sayyang___ Jangan asal boikot gitu aqua itu pro Palestina dan tidak ada do list boikot lo",negatif
"@sayyang___ Yuk netizen yang budiman stop boikot aqua yuk. Dia udah banyak donasi ke palestina nih",negatif
"@txtoranggabut Gue dukung banget brand brand yg pro Palestina kayak aqua buat yg masih boikot aqua stop weii",negatif
"@sayyang___ Ikut bangga sama Aqua tetap konsisten bantu Palestina walau banyak beredar berita hoax bahkan ada yang boikot Aqua",netral
"@matyhir wihh keren danone langsung kasih pernyataan resmi yang didukung PBB. udah ya jangan asal boikot aqua ga termasuk!",negatif
"@vyowiz7 Hla iyaa berita kayak gini wajib di up biar yang ngusulin boikot aqua malu sendiri",negatif
"@kaptenAmercia Stop boikot aqua lagi dong guys. Udah banyak donasi ke palestina loh dia",negatif
"@Bersajak_id Untung gua ga sempat boikot Aqua",negatif
"@kaptenAmercia Yukk be smart yuk jangan main boikot aqua lagi. Udah jelas dia pro palestina",negatif
"@kaptenAmercia Lahh kan beneran udah ku duga sih kalo aqua tuh bela palestina. Plis jangan boikot aqua lagi yok",negatif
