full_text,sentiment
nct! nctzen diskusi dulu yuk. template ini kita stop aja karena 1. kalo batal alo bakal bayar pinalti ke sm yg mana menguntungkan buat sm 2. kita boikot produk bukan boikot member. Bisa dg cara nggak usah beli tiket 3. berpotensi bikin rusuh saat acara berlangsung https://t.co/UjdT6WLKsY,negative
Guys bagi kalian yang sekarang lagi gencar boikot produk yang terafiliasi dengan israel salah satunya Spotify. Aku punya alternatif aplikasi buat dengerin musik secara legal dan ini aplikasi yang aku kembangin bareng team aku. Aplikasinya bernama Svara. Bantu rt dan support ya https://t.co/AJjg3EL4rq,negative
Salut sama semua penggerak boikot produk terafiliasi Israel saat ini. Sekarang gerakan boikot masif banget di medsos maupun di real life. Lebih salut lagi sekarang penggerak boikot bukan lagi hanya yg Islam kanan (banget) tapi juga juga semua kalangan. https://t.co/v3SGd6lpWw,negative
Boikot produk israhell ini Bagus desain grafisnya bagus mengingatkan kita akan biadabnya israel pada warga sivil Palestina. VIRALKAN https://t.co/xVVWjQk0zF,negative
Boikot produk Israel ngaruh jika di lakukan konsisten dan massal! Tonton cerita lengkapnya https://t.co/wDog6E7R7Z Jangan lupa subscribe like and share! https://t.co/7M1zv1hUaA,negative
Inget guys kita disini lakuin aksi boikot ke mereka supaya kolaborasi itu selesai dan gak lagi ada artis SM jadi BA produk pro zionis. Jangan hal ini dijadiin ajang untuk ngirim kata kebencian bahkan sampai mengeluarkan kata-kata gak pantes ke member NCT.,negative
Boikot anak mertua aja bisa Masa boikot produk yahudog g bisa Rudi dong ye kan yenk? #FreePalestine #AlleyesonRafah https://t.co/zGYgnG4XEx,negative
Menurutku kita sebagai orang-orang yang membela/support Palestina memang memiliki kewajiban untuk memboikot produk yang pro ke Israel. Tapi perlu diketahui boikot itu adalah tindakan untuk tidak menggunakan membeli atau berurusan dengan seseorang atau suatu organisasi https://t.co/PTnrw4PqfE,negative
tanyarl liat nih idol lokal yg pake produk boikot + melanggar golden rules JKT48 ga member ga staff sama aja tolong kasih edukasi ya ke member dan staff nya juga fansnya jangan tutup mata!! tapi ada juga yg mengedukasi (sender salut) https://t.co/IsfYOr5PXd,negative
@convomf Kalo udah kebeli karna memang enggak tau diboikot ya nggak papa pakai aja nggak usah dijudge justru diingatkan dgn baik karna produk boikot banyak banget dan susah untuk ngehafalin semuanya tapi kalo dari awal udah tau itu diboikot tapi masih beli baru itu yg salah https://t.co/bj8KFGm07f,negative
sumpah sayang betul yoyo wkwkwk. tadi dia live minum produk boikot. dia emg suka kayaknya. trus gue edukasi pake bakor. intinya gue blg next time jangan minum itu lg karena bla2 pas live. if you read and understand this please wink trus galama wink. tapi gak gue record https://t.co/FuHZ8gK7et,negative
Halo semua terkait berita mengenai beberapa idol yang menjadi BA untuk produk yang masuk dalam list boikot kami tidak dapat melarang kalian dalam menggunakan fc tertentu karena itu merupakan hak kalian. Namun kami memiliki beberapa saran dalam penggunaan base ini kedepannya. https://t.co/ggfiwRexZT,negative
ga gitu juga sebenernya. fokus boikot sesuai target bds itu HARUS tapi kalo mau boikot produk pro israel yang ga masuk list juga boleh aku kasih contoh yang mirip dengan KFC kenapa ga masuk list tapi publik tetep nyuruh boikot. https://t.co/nQx22FMYTF,negative
lu pikir wayv ini kriminal or fix zionist kah? ngedit foto begini + naikin ht seolah olah BOIKOT MEMBER. kenapa ga fokus naikin hastag collab sbx aja dulu??? gua beneran nanya. elu mau boikot produk zionist atau mau boikot member?? https://t.co/WlDEdTci5I,negative
Target kita tuh boikot produk dan minta sm stop kolaborasinya bukan ngasih hate ke kanan kiri dan berasumsi jelek sama mereka.,negative
Nih Jends. Biar gak kebanyakan omong kebanyakan bingung. Kalau PUNYA HATI dan mau ikut gerakan boikot. Bisa boikot produk/perusahaan di atas. Mereka yang DIUTAMAKAN. Sisanya adalah personal choice kalau bisa memang ikut diboikot. https://t.co/eUL7mKdI2q,negative
HAIRFALL SOLUTION‼️ Jarang ada yang bahas sampo ini padahal lumayan ngefek di aku untuk ngurangin rambut rontok. Bahan nya alami jadi gaakan ngerusak rambut. Bisa jadi alternatif pengganti produk boikot nih gais https://t.co/BmHONzxuJ8,negative
@caratstalk Yg masuk list intinya tuh produk ini. Produk diluar ini terserah kalian mau boikot atau tidak. Bijak dlm bertindak pikir matang-matang dulu. Lebih bagus lagi ikut donasi. Carat banyak yg buka/nyebar link untuk donasi. Lebih membantu ketimbang sibuk kebingungan boikot A B C. https://t.co/iNRTDYEq4B,negative
STARBUCK DIGANTI NAMA VISTA COFFEE.. PIZZA HUNT DIGANTI NAMA JADI RISTORANTE .. TETAP BOIKOT PRODUK PRO ZIONIS ISRAIHELL .. #FreePalestine #boikot https://t.co/4zPzz4ocPY,negative
Apapun alasannya pembunuhan massal masyarakat sipil di Gaza tuh nggak bisa dibenarkan guys. Makanya kita perlu bantu para korban genosida dengan stay informed dan terus boikot produk dari negara pro genosida. https://t.co/qvdXwMNHAY,negative
Jangan pernah mimpi surga jika kamu tidak peduli terhadap saudaramu dan mengangap hal ini biasa-biasa saja. Lihatlah bagaimana mereka merawat adik-adiknya yg ditinggal orang tuanya syahid Hanya untuk boikot produk para bedebah saja kalian enggan untuk melakukannya https://t.co/3PwOdiWEvB,negative
ehh ateez dtg kesiniii?? anjir anjir kn ini produk jg di boikot anjrittt https://t.co/FtioYwXy5S,negative
Adek sender nanya P3r4ng itu udah selesai belum? P3r4n9 apa? Isriwil sama 🇵🇸 Belum Yahh padahal mau m3kdi Dia beneran ga makan atau minum produk yg di boikot loh selama ini. Semoga kakak² semua masih melakukan hal yg sama ,negative
-star sender bingung banget kalau ngomongin produk boikot hampir 99% idol kpop pasti pake entah itu luxury brand atau brand yang kurang terkenal. jadi apakah lebih efektif kalau fokus sama BDS ya? tolong pencerahannya thank you! https://t.co/tDVCJSrfye,negative
fess maaf kalau produk boikot tapi mau nanya sender dikasih ini sama sodara halal ga sih? udah sender makan takut ga halal sekali lagi maaff kalau produk boikot soalnya dikasih jd mau gmn lagi.. *gambar sender ambil di google https://t.co/VhoY4YYnam,negative
Nah yg seperti ini juga terjadi di NU. Banyak dari kami di akar rumput tidak lagi memandang dukungan utk Palestina melalui aksi boikot karena isu agama melainkan kemanusiaan. Melakukan boikot produk terafiliasi Israel tidak memandang suku ras agama dan golongan. https://t.co/5qSMSdKBF2,negative
 nctzen diskusi dulu yuk. t3mplat3 ini kita stop aja karena 1. kalo batal alo bakal bayar pinalti ke sm yg mana menguntungkan buat sm 2. kita boikot produk bukan boikot member. Bisa dg cara nggak usah beli tiket 3. berpotensi bikin rusuh saat acara berlangsung https://t.co/qzRVe6nBvp,negative
KALAU GAK BISA BOIKOT KESELURUHAN TUH YAA MINIMAL MAS. ET DAH CAPE BENER NGADEPIN ORANG-ORANG YANG MASIH MIKIR INI KARENA AGAMA. BELA PALESTINA DAN BOIKOT PRODUK TUH GAK PERLU MASUK ISLAM. EMANG LU KATA SEMUA PENDUDUK PALESTINA ITU MUSLIM? https://t.co/9ejOXd3VtV,negative
Kelakuan Gen-Zero Indonesia yang paling Palesnistism 'en Hamanism ! Boikot Produk AS ??? Ironisnya KFC di Mekkah Laris Manies Gaes.... wkwkwkwk https://t.co/qiBIC4NOXz,negative
Tugas kita itu ngajak orang orang buat boikot produk setan kalo ada orang orang yang nggak ikut boikot produk setan biarin aja. Kecuali mereka ngajak buat stop boikot baru deh bully abis abisan. Jangan berhenti ngomongin Palestina sampe mereka sadar sama postingan kita.,negative
STARBUCK DIGANTI NAMA VISTA COFFEE PIZZA HUNT DIGANTI NAMA JADI RISTORANTE TETAP BOIKOT PRODUK PRO ZIONIS ISRAIHELL https://t.co/cglUpp2zYQ,negative
nct! sumpah aku kesel banget sama beberapa nctzen indo yang goblok nya kelewatan kalau mau boikot yaudah boikot aja unfoll gausa beli produk brand yg di boikot dan spread awareness please beberapa dari kita udah pada dewasa harusnya udah ngerti apa yang sebaiknya kita lakuin,negative
Aneh ya negara2 muslim minoritas seperti Italia begitu inten mengutuk memboikot produk zionis dan aksi solidaritas utk Palestina. Di negeri2 matoritas muslim seperti Indonesia masih banyak yg tidak peduli dgn seruan boikot produk2 milik zionis dan masih laknatulloh.. https://t.co/es6zBdOSQM,negative
@gajahgemes @convomfs Buat ngelihat produk tsb masuk list boikot apa ngga sama alasannya https://t.co/QZ1eM2Mpqw,negative
Boikot kita fokus saja dengan BDS! Gerakan BDS memilih produk secara selektif agar lebih efektif dan akurat jadinya kita ga perlu jenuh untuk boikot semua. Spotify bisa dimanfaatkan sebagai platform untuk bersuara untuk P4lestine seperti lagu Hind's Hall by macklemore. -c- https://t.co/MWhjsmW2je,negative
Moots mau nanya deh kalo berdasarkan list yang dikasih BDS ini berarti hitungannya kfc gak masuk produk boikot yaa? Beritanya lumayan simpang siur soalnyaa.. https://t.co/l7a29qr9ug,negative
Fuck israel. Fck you all yg ga bersuara sedikitpun soal Palestina. Fck you all yg ga memboikot produk pendukung zionis semampunya. Fck you all yg berhenti boikot karena makanan/minumannya enak atau sekedar ada diskonan. Fck semua selebriti dan pejabat yg tetep promoin brand ,negative
Selain memberi dukungan suara untuk warga di Palestina peserta aksi All Eyes on Rafah juga mengaku sudah ikut aksi boikot. Mereka perlahan beralih dari produk-produk yang masuk daftar boikot. #detikcom #AllEyesonRafah https://t.co/BgvJxM33Go,negative
MARI TERUS KITA LAKUKAN JARI JEMARI KITA UNTUK BERJUANG DIMENSOS DEMI PALESTINA🇵🇸 DAN TERUS BOIKOT PRODUK PRODUK ZIONIS. (#FuckIsrael ) JIKA KITA MEMBELI PRODUK ZIONIS SAMA AJA KITA NGEBUNUH RAKYAT PALESTINA. #FreePalestine 🇵🇸 #AlleyesonRafah #RafahUnderAttack‌ https://t.co/0l8MOf7Ukt,negative
pantes dijadiin mosi kemaren soalnya sekarang fokusnya bener bener bukan direct ke brand yang di boikot tapi ngarahnya ke boikot artis jadi ada pergeseran prioritas pemboikotan dari produk afiliasi ke penekanan artis untuk speak up dsb,negative
hello guys berikut produk2 yang harus jadi fokus dan tujuan utama gerakan boikot kita yaa. Produk dibawah ini adalah produk yang direkomendasikan BDS indonesia utk jd fokus utama gerakan boikot ini. yukk kita lebih aware dengan produk sekitar kita. https://t.co/PVTki5ZshE,negative
Milih plattform streaming yg relatif aman dulu saat ini. krn gk punya kapasitas untuk nentuin hal2 seperti ini serahkan saja ke hasil dari situs yg direkomendasikan lembaga resmi untuk menentukan jenis produk yg di boikot. Sc: https://t.co/7APYKfVQgU https://t.co/lLBCXGtcNF,negative
NCTZEN LATAH. Stop bawa narasi yang aneh aneh. Js cuma unfollow bukan berarti dia z* kalian terlalu jauh buat nanggapin mslh js. TUJUAN KITA TUH BOIKOT PRODUK DAN NGASIH EFEK JERA BUAT AGENSI DAN MEMBER NCT! bukan untuk bilang member nct z* kalian belum tau apa (cont..) https://t.co/yeYRyBeSXQ,negative
@convomfs Fokus utamanya boikot yang di-list BDS (gambar kiri) dulu ya guys. Tapi kalau kalian udah memboikot yang di-list BDS dan mau memboikot produk-produk lainnya (yang di gambar kanan) sok atuh. Boleh banget https://t.co/o6jWEJZwLK,negative
Ribuan Warga Ikuti Aksi Bela Palestina di Depan Kedubes AS Serukan Boikot Semua Produk Pro Israel: Ribuan warga mengikuti Aksi Bela Palestina yang digelar di depan Kedubes AS di Jakarta Pusat pada Sabtu (1/6/2024). https://t.co/BTdwMYhVLg https://t.co/noeYmwqPrY,negative
@FOODFESS2 Dua-duanya produk boikot. Beralih ke nextar noir guys rasanya mirip banget sama 0re0 dan harga lebih murah https://t.co/LYLnEMYWPo,negative
@convomf Boikot itu 'STOP MEMBELI' produknya. Kalo emang udah terlanjur beli/make yaudah. Rata apa yg kita pake emang disponsori sama zionist. Maka dari itu ada list produk yg harus diboikot/target boikot yg dimana ada banyak pilihan lain kalo kita ga beli produk itu makanya diboikot,negative
Ini baru gokil!! Kapan lagi ngajak boikot di depan stand produknya langsung Cuma YKMI doang yang berani kaya gini bagi2in flyer boikot ke peserta acaranya Danone Aqua. Emang harusnya kita semua tuh kaya gini tegas dan berani boikot Danone Aqua. Jangan takut sama produk pro https://t.co/59eUfM8MQW,negative
ftd! ini mereka BA nya ya atau cuma event??? ini termasuk produk boikot kan ya kalo iya bisa bantu ingetin mereka ga gusy no salty makasih https://t.co/Q8PugObASK,negative
MORNING ASTEROIDS! Produk collab bkln rilis hari ini INGET jgn Hype jgn B3LI tetap unfollow akun IG JISUNG dan tetap naikin template untuk boikot Collab ini. SEMANGAT ASTEROID KALIAN PASTI BISA! https://t.co/9BbYW2DzlW,negative
@pegawailangit_ @starfess @BDSmovement - untuk mencari produk pengganti yg ga bau darah. Sedangkan kita di Indonesia ini ga terlalu susah untuk cari produk pengganti. Jadi mumpung kita punya privilege sebesar ini yuk gunakan untuk boikot sebanyak2nya termasuk di list BDS ini dan banyak produk terafiliasi lain https://t.co/A8sCsn31yJ,negative
Edukasi tentang boikot produk yang perlu diboikot jangan cuma di Twitter. Tolong yang punya TikTok edukasi warga TikTok juga karena persentase pengguna Twitter kalah dengan persentase pengguna TikTok ALL EYES ON RAFAH ALL EYES ON RAFAH #HYBEDivestFromZioism,negative
 kdm ada produk boikot di feeds nya BWS ayo guys komen dipostingan ini biar di takedown!! https://t.co/MF009yGuR6,negative
Star ini produk di bawah Unilever dan mereka itu pro Z jangan lupa di boikot https://t.co/GxfJN8i7FB,negative
Penjelasan dari mas ini udah cukup jelas semoga kalian-kalian yang masih meragukan aksi boikot atau bahkan ngurusin orang-orang yang masih aktif ngeboikot produk zionis itu betulan paham esensi dari aksi boikot ini ya. https://t.co/XMSzcpJL6g,negative
@tanyakanrl Menurutku kita sebagai orang-orang yang membela/support Palestina memang memiliki kewajiban untuk memboikot produk yang pro ke Israel. Tapi perlu diketahui boikot itu adalah tindakan untuk tidak menggunakan membeli atau berurusan dengan seseorang atau suatu organisasi https://t.co/pFOLS5TWTn,negative
demi allah aku nangis banget liat kondisi anak anak kecil di rafah kek ngerasa marah bgt sama diri sendiri karna gabisa bantu apa apa kecuali boikot produk sedangkan mereka disana masih bisa senyum padahal mereka menderita dengan keadaan. https://t.co/Thpta8qgod,negative
trus menjadikan deobiland sbg rumah barumu karna idol kami aman ? ga sayang caranya ga gitu. caranya kamu jgn beli produk zionis dan edukasi idol mu juga agensinya. tujuan boikot adalah bantu negeri semangka ya adik adik bukan jadi ajang pindah fandom,negative
@diyosh_ @jaesxc @ohmybeautybank Coba cek pake aplikasi No thanks kak Barusan aku cek produk hadalabo yg tertulis disitu ngga boikot. Kiri hadalabo Kanan Garnier https://t.co/8igZhZN3eM,negative
Ngapain beli produk boikot friends ini ada ayam dkriuk. Udah mah enak gede dan murah pula https://t.co/vMS02uMfIf,negative
-star mgkin ini salah satu cara naikin awareness ttg hestek boikot produk z!onist &amp; all eye on rafah di Korsel yaitu ramein postingan orang korsel Contoh: akun bds korea ini. Bisa cari akun lain. Naikin engagement nya. Cmiiw ya ayok diskusi. Sabtu mau ada demo disana. https://t.co/hFD9iYOwex,negative
@txtdrkeylie walawee thank u udh ngingetin gue gue gak tau kalau ysl produk boikot. tweetnya bakalan gue take down. buat yg udh kebakaran jenggot gue mau ngasih tau kalau gue boikot brand zionist. gue pernah rep di ohmybb jg tapi pas tau itu zionist lgsg gue delete dan reply begini https://t.co/119lgTUFL3,negative
Siapa ada telo sini nak boikot produk Apple? Ada telo komen skrg! Jgn sembang kencang sahaja. https://t.co/D1qCwIyJfV,negative
@convomf iPhone android google YouTube Twitter IG FB. Emng produk mereka knp yg boikot masih pake? Ya karna satu-satunya cara nyebarin postingan positif pake itu ya kalau gak ada benda diatas lu gak akan tau berita sebenarnya krna udh dipropagandakan dibolak-balik tuh berita.,negative
@nct_menfess imo boikot itu gak beli produk dan gak hype / gak mendukung collab mereka. kalo soal gak hype member itu sebenernya kaya bentuk aksi protes kita ke SM (secara gak langsung) karena kita gak setuju dengan adanya collab tsb. --,negative
@starfess semoga pemahaman yg sesimple ini bisa nyampe 1. baca konsep target utama boikot sampe paham 2. 2 cara: - ada idol diendorse/pake produk di BDS list: edukasi &amp; kasih tekanan terang²an ️ - ada idol diendorse/pake produk yg support zi0nis tapi gak ada di BDS list: edukasi ️ https://t.co/vUx0YLAyUJ,negative
Segala bentuk penjajahan di atas muka bumi harus dihapuskan termaktub dalam pembukaan UUD 1945. Maka menentang penjajahan zionis di tanah palestina menjadi kewajiban kita semua dengan cara dan bentuk apapun yg kita bisa. Salah satunya dengan perjuangan boikot brand/produk https://t.co/YoGL0z3Us5,positive
inget ya disini gue bkn ngebela bts yg diem tp gue cuma blg jgn nyalahin mrk diem karna ngeliat si t bikin igs begitu yg notabene nya dia jadi BA produk boikot. intinya kita terus spread awareness aja,negative
ini loh yg dari kemaren selalu ku bahas boycot tuh udah jadi urusan masing2 mereka artis ini gak bodoh dan buta kok untuk tau yg di konsumsi mereka tuh produk boikot ya simplenya block aja gausah di ramein lagi anggap aja double boycot bukan malah jadi ajang ngebully,negative
Sori gue disini bukan mau ngebela siapapun tapi tolong kalo sekiranya ada member yg update jangan jadiin itu buat ajang hate speech fokus aja sama tujuan kita buat naikin ht &amp; boikot produk zi0n1st itu.,negative
-star gaes mgkin ini salah satu cara naikin awareness ttg hestek boikot produk z!onist dan all eye on rafah di Korsel yaitu ramein postingan orang korsel ttg ini. Contohnya akun bds korea ini. Bisa cari akun lain. Naikin engagement nya. Cmiiw ya ayok diskusi. https://t.co/kmGMIZeGmg,negative
Kelompok boikot ini knp ya kekeuh dgn produk2 F&amp;B asal Amerika dan ga do some research ttg produk Israel? Pdhl mrk itu produk ekspornya mostly IT products. Klo mau bener2 boikot ya hindari utk memakai Google dll. Klopun Mcd KFC jatuh yg rugi US (itupun ga bnyk) &amp; bukan Israel. https://t.co/BVFOSH6fQu,negative
Idola semua kalangan Nicholas Saputra jadi BA Bear Brand produk Nestle yg jelas2 sponsor Danone dan jadi target boikot di seluruh dunia nih. Berani hujat ga Gaes? https://t.co/DEWgchaAUb,positive
Tolonglah @gibran_tweet 58% rakyat Indonesia udh percaya sama lu lu tuh wapres punya influence sangat besar terutama buat 58% manusia itu tapi knp masih tutup mata dgn pembantaian di Palestina? Masih terang-terangan membeli produk boikot? Pdhl ada brand lokal (cont.) https://t.co/wZDcSsCQzd,negative
[bb] haloo izin drop keadaan rambut sender yaa boleh gak yaa rekomendasikan hair care untuk rambut kaya sender diatas rambut sender lumayan tebal dan mengembang alias bervolume sama kdg ketombean gitu saranin dong produk perawatan rambut (bila perlu yg gak boikot (cont..) https://t.co/e0klxzHBqK,negative
ujug² semua boikot semua boikot padahal ada produk terkonsentrasi by BDS Movement. Kalo liat ada org make barang yg ada di web² itu langsung dikatain gapunya moral mending meningsoy aja ga punya rasa kemanusiaan. Bruh the same goes to you right? Ngata²in begitu,negative
@ohmybeautybank Fokus boikot brand dr un1lever aja nder sama p&amp;g beserta produk france. Tp ga semua brand france ya. Nihh udah gue rangkum https://t.co/uw5qrUDDyD,negative
Beberapa alasan yang menurutku kenapa kita masih ada pilihan untuk boikot dan unfollow atau tidak : 1. Mereka belum dan tidak secara terang-terangan promosikan produk pro-zionist itu agar kita ikut beli. 2. Mereka belum dan tidak berkolaborasi yang dapat menguntungkan (...),negative
boikot itu stop buat beli product yg terafiliasi raising awareness buat orang lain stop beli produk zionist share info abt palestina biar orang jg ikut sadar dan kl bs kasih kontribusi donasi buat mereka gaada agama yg ngajarin tindakan anarkis kekgitu jgn salahkan agamanya,negative
Boikot bukannya member gak speak up tuh jahat tapi kita tahu sendiri dream kalau jadi BA tuh pasti sesekali pake produk yang udah kerja sama ama mereka kan. Tapi ini mereka diem berarti mereka boikot produk juga kan. Ingat tujuan demi dunia tahu keadaan Palestine sebenarnya.,negative
Video yg diup Kyungmin di Weverse itu video tahun lalu ya guys... don't throw hate ke anak2. Itu video lama dan tolong fokusnya ga usah ke mana2. Kalau mau boikot boikot aja jangan nyari-nyari idol2 mana yang pake produk ini itu blablabla. Kalo kayak gini semua idol aja lu hate.,negative
@tanyakanrl Ini ibarat daging dan darah... Say no to this... Boikot produk menyeramkan ini https://t.co/iofUHuhxo5,negative
kesel banget sama orang yang masi sepelein boikot ini uda di ingetin jangan beli produk yang pro zionis eh masi aja di beli bebal emang keras kepala.,negative
