full_text,sentiment
"Pizza hut itu sudah bertahun2 selalu merugi sebelum boikot Makanya dulu sebelum pandemi pun mereka sampe jualan pizza dipinggir jalan pake motor Lu pikir itu karena apa?? Kalo mau hasbara mbok ya jangan tolol tolol",netral
"di keluargaku kalo ngerayain sesuatu selalu ke pizza hut semenjak boikot mama belajar bikin pizza sendiri (dan enak btw). kalo ponakan ke rumah biasanya dibeliin mcd atau burger king semenjak boikot mama rajin masak buat mereka. boycott is easy if you want to.",positif
"Boikot itu tidak membeli produk Pizza Hut bukan memaki-maki pegawai Pizza Hut tidak bersalah yang berusaha mengais rezeki di tengah-tengah lapangan kerja yang karut-marut",netral
"Sebenernya dulu mekdi kfc pizza hut tu udh ada gerakan buat di boikot sekitar taun 2014(?) an lupa Cma gatau kenapa seiring berjalannya waktu org org ramein mekidi pizza hut dkk lagi Trs pas ada berita genosida di Palestina ini akhirnya org org nge boikot lagi",netral
"pizza hut boikot ga sih?",netral
"Tetap boikot mcd Pizza hut",positif
"Ada temen boikot Pizza Hut tapi makan marugame udon.",netral
"gue pribadi kesulitan boikot pizza hut. seumur hidup gapernah intentionally beli pizza selain brand ini. paling susah kuboikot krn seumur hidup cm makan super supreme tenang aja udah ga gue beli kok in the past few months",netral
"Mau tanya Pizza hut termasuk ke dalam list boikot kah?",netral
"pizza hut boikot jg kah kirain domino doang",netral
"Since Pizza Hut &amp; Domino boikot en pizza dekat mana lagi yg best ye?",netral
"Lama gile x makan pizza lepas pizza hut and Domino's masuk dalam list boikot. Ok pizza apa yang gak support israel?",netral
"banyak beli barang yg di boikot 'pizza hut &amp; mcd' tapi kesalahan itu ada karena bliau mengonsumsi nya di ruang public. jujur mcd dan sbux di daerah gua masih rame. GUA KECEWA BERATT terserah lu minum itu di dorm atau kamar hotel lu TAPI SETIDAKNYA RESPECT DENGAN GA MINUM DI PUBLIC",netral
"pizza hut bukan memang boikot ke? okay boikot and support local pizza",positif
"Domino atau Pizza Hut list boikot gak?",netral
"dah excited mau mam pizza tp br keinget KITA KAN BOIKOT PIZZA HUT YA.........",negatif
"kalo misal kita udah beli produk non boikot semacam point coffee tapi belinya minuman cookies and cream, sedangkan cookiesnya biasanya Oreo. itu gimana jadinya?",netral
"1 perusahaan sama oreo, masuk list boikot. Mending beli silverqueen, produk lokal 🫶",positif
"everything is gone,,tinggal nama doang. ini karna kalian lemah, boikot sebentar aja kagak bisa, suruh replaced sama produk lokal kagak mau,,,kalian telah sumbang sih dgn pemusnahan kemanusiaan.",negatif
"Kalo aku pribadi, selain boikot produk2 yang tertera, aku berusaha sebisa mungkin buat gak beli produk2 yang terafiliasi lainnya kaya oreo, lifeboy, carnation dll. Aku gak mau uang ku dipakai untuk membantai manusia even itu cuma seribu atau dua ribu. Aku percaya, kalau niat-",positif
"Buat yang lain, jangan lupa boikot produk Yahudi Jagal Bayi yah guys,,, Nescafe, Nestlé, Oreo, Unilever",positif
"berarti kl ga boikot oreo & produk unilever gapapa kan kl ikutnya boikot sistem BDS? soalnya sejak ada isu2 boikot ini aku stop beli oreo, stop beli produk unilever & banyak produk yg di tiap postingan produk itu disuru nyari alter. jujur aja aku boikot semua krn takut dicerca",netral
"serius nanya jgn salty ya, himbauan dari MUI itu boikot semua produk / boikot yg berpatokan sm BDS aja? soalnya kangen aja oreo, ini kalo nanti aku beli oreo apakah aku jadi berbuat dosa?",netral
"Boikot Starbucks Boikot Starbucks Starbucks Starbucks Kamu tdk akan bisa sembunyi Kamu bikin minum untuk genosida Portland Oregon Amerika Serikat🇺🇸 #FreePalenstine https://www.the-sun.com/news/9844526/boycott-zara-christmas-campaign-photos-apology-palestine-israel/",positif
"lanjutttt boikotnya kakak @kfc boikot @McDonalds boikot juga @Unilever boikot @Nestle Boikot juga @CocaCola boikot juga @Starbucks boikot juga @Disney juga boikot produk P&amp;G jugak",positif
"Lanjutkan sampai mereka tidak mampu lagi membiayai Israhell untuk membunuhi bayi2 dan anak2 Palestina Penjualan McD hingga Starbucks Anjlok akibat Aksi Boikot https://www.instagram.com/detikcom/p/Cya9MrgM522/",positif
"Saya dengan senang hati akan memboikot starbak mekdi burgerking. Selain benci dengan israel alasan boikot sebenarnya lebih ke miskin",positif
"Soalnya si otak gue yg gak boleh gue makan tuh mekdi pizza hut domino burger king ajaaa tp apa ada merk makanan lain yg sebenernya di boikot tp gal terlalu rame kah",netral
"Brooo kalian ga bakal mati kalo ga makan mcd kfc burger king atau produk boikot lainnya. Masih banyak kok alternatif produk yang bisa kalian beli tinggal pintar-pintar memilih aja.",netral
"DIBILANG BOIKOT BOIKOT TAI!!! LU MASIH AJA MAKAN MCD KFC STARBUCKS BURGERKING PIZZAHUT DOMINOS. TRUS ADA YANG BILANG YAUDAH YANG ISLAM AJA BOIKOT! HEH INI BUKAN CUMA AGAMA ISLAM DI PALESTINA JUGA BANYAK PENGANUT KRISTEN DLL. INI TUH PEMBUNUHAN GENOSIDA BUKAN PERANG TOLOL!!",negatif
"sementara ini produk jualan aku yang kena boikot cuma oreo crumb, yang lainnya alhamdulillaah lulus sensor ✨",netral
"That's why di antara target2 boikot paling benci sama mekdi &amp; pizza hut",negatif
"ampe skrng ad yg masiii boycoting kgaak?? plis muncul yg masiii kgaak beli produk yg di boikot mcd kfc pizza hut dkk kerabat deket gw dah mulai bodoamat sedih wehh",netral
"Jujur engga sih. Belum ada yang bisa kalahin rasa-rasa makanan yang diboikot kayak mcd kfc dan pizza hut tapi gapapa namanya boikot kan tergantung hati nurani. Kalau mau menghibur diri dengan mencari makanan yang mirip-mirip rasanya juga gapapa.",netral
"Pizza Hut PhD rugi bukan karena boikot mungkin simply udah gak enak gak ada pembaruan menu yg signifikan dan pizza pesaingnya lebih enak. Roti tebel saos biasa topping kek sosis curah harga mahal. Sama-sama habis 100rebu mending marzano",netral
"Temen kantor yg dulu sok sok boikot kemarin ultah beli Pizza Hut limousine buat sekantor. Udah pinter dia sadar kalo boikot itu gerakan gak jelas yg merugikan bangsa kita sendiri. Capek boikat boikot tapi pelurunya Israel gak habis2.",negatif
"heran deh sama yg masih kemakan hoax boikot jelas2 unilever indonesia udah banyak donasi ke palestina jelas mereka memihak palestina lah https://t.co/wjRvcxaxoM",positif
"buset voucher diskonnya unilever semua ya sasaran boikot ni gencar sekali marketingnya",netral
"Terdampak Boikot Penjualan Unilever Indonesia Turun pada 2023 https://t.co/4fSdrtwJXm",positif
"Nestle Unilever punya Israel produk produk Unilever mesti di boikot woy tapi masih aja dibeli ama rakyat Indonesia ini perusahaan Israel 7 turunan nggak habis habis kali harta Israel hampir seluruh dunia dikuasi oleh mereka. Unilever tuh produknya banyak banget lagi.",positif
"Kurang2i aja mbanding2in kesalahan orang. Orang jelas salah ya ditegur jangan kemudian membandingkan dengan kasus lain. Orang kalau boikot McD tapi ga boikot unilever ya biarin aja puji dan apresiasi mereka bukan malah nyinyir kek gitu.",netral
"org pd fafifufefo boikot produk kek sb unilever mcd dll tapi pelamar kerja di perusahaan tsb masih bnyk aja jir terutama unilever. gw kira pendaftar ulip bakal turun gara2 aksi boikot",netral
"Hadeuh manusia pada kenapa ya gini yaaa klo kalian mw boikot ya boikot aja sendiri perkara idol makan oreo trus kalian mw spam ini itu be smart lah mereka bukan kalian intinya kenapa sih ga urus idup sndiri aja knp maksa org laen bwt jadi KALIAN??????",negatif
"Kalo boikot Oreo terus terang aku gak bisa. Maafkan.",negatif
"Bismillah Ada apa dgn anak² skrng ini Dgn usia mereka yg se muda itu sdh bicara yg tdk baik soal Warga Palestina yg skrng di Genosida Zionis!! Tontonan yg mereka lihat dgn pemberitaan pro &amp; kontranya soal Boikot Produk Israel membuat anak² ini tak ada rasa empati Miris!! https://t.co/BU8TZuNJsy",positif
"sekali lagi boikot itu stop beli produk bukan rusuh sana sini goblok",netral
"@cingreborn Tolol parah plis boikot dari kerjaan apapun sumpah masa bisa setolol ini.. oke sok makan mcd tp gaperlu blg apa2 pls???",negatif
"@kegblgnunfaedh Sy gak boycott sih. sebelum ada aksi boikot udah lama gak ke mcd kfc apalgi sb. Ya buat apa?? Jangan salah2in boikot. Salahin tuh strategi manajemen mu yg bosenin. Ngerasa makan di mcd kfc adalah makanan mewah padahal saingannya itu bejibun. Sabana olive dll..",netral
"@txtoranggabut Please ya manteman jangan boikot Aqua lagi karena benar² Aqua dukung Palestina.",netral
"banyak beli barang yg di boikot 'pizza hut &amp; mcd' tapi kesalahan itu ada karena bliau mengonsumsi nya di ruang public. jujur mcd dan sbux di daerah gua masih rame. GUA KECEWA BERATT terserah lu minum itu di dorm atau kamar hotel lu TAPI SETIDAKNYA RESPECT DENGAN GA MINUM DI PUBLIC",netral
"Efek boikot itu ril lho. Pizza Hut kemarin ngumumin kalo mereka rugi 96M sepanjang 2023 kmrn. Krn kondisi ekonomi juga + efek boikot kata mereka. Jadi teruslah kita boikot. Yg paling gampang yg fast food2 lah sm kopi. Pilihan penggantinya buanyak bgt kok.",positif
"udah paling bener tolak boikot aja anti ribet",negatif
"Oreo dan Biskuat dari Israel? Kalo mau dukung atau tolak boikot harus selektif ya man teman",netral
"Alhamdulillah seneng bgt karena tidak salah yang aku lakukan selama ini dengan tidak ikut-ikutan boikot produk Aqua, sebaliknya makin menguatkan bahwa ternyata Aqua itu Pro Palestina 🙂👌🙏 so, tolak boikot aqua",positif
"Nyusahin karyawannya bgt deh. udah paling bener tolak boikot aja anti ribet",negatif
"menolak keras untuk pakai produk² israel, pokoknya Ramadhan Tanpa Aqua gerakan boikot harus tetap berjalan",positif
"Boikot dengan aksi nyata itu jatuhnya kayak orang intoleransi beragama. Contoh agama A yang pasti tidak percaya agama B. Kalau itu diwujudkan dengan demo rumah ibadah B, terang2ann di medsos menolak agama B, menganggu orang B yang lagi ibadah, ya jatuhnya mengganggu ketertiban",negatif
"Ndak papa kebebasan beropini juga dari dia kita negara demokrasi jadi bebas aja mau menolak atau menerima boikot yang itu hak individual. Mas nya dilihat juga suka dengan Starbuck. Kita yang lihat hal kita sukai dihina kan ikut terhina. Lalu salah masnya dimana?",netral
"Komenannya persis sama seperti orng yg menolak ajakan boikot",netral
"Orang Indonesia tdk belajar dari pengalaman, boikot aja gak usah pada mendaftar, anak2 SMA yg dicalonkan pada menolak",negatif
"Cobalah menolak dg bahasa yg baik.. Contoh: Maaf aku boikot Gacoan, karyawannya overtime dan underpaid..",netral
"Halah zionis pesek wawasan sempit. Kt sp boikot itu cuma 'berhenti menggunakan'? D KBBI aja maknanya 'menolak kerja sama'. Artinya jg berhenti kooperatif. Mau kubantu elaborasikan atau otakmu masih nyampe?",negatif
"7/ Ditambah sejak peristiwa Gaza-Israel, marketnya meluas bkn cuma pria muslim, namun para simpatisan Gaza yg menolak pakai produk boikot Israel.",netral
"Setuju banget! Aqua jelas pro Palestina dan tidak masuk list boikot",positif
