created_at,full_text,sentiment
Tue Dec 26 08:04:13 +0000 2023,"sampe sekarang gue masih konsumsi Aqua gak gue boikot. Emang terbukti bukan produk Israel dan selalu pro Palestina",negatif
Tue Dec 26 08:04:13 +0000 2023,"Burger king tuh enak bgt, juicy parah, ga kering ayamnya, padahal gua beli via shopefud tapi panas ayam baru gtu, tapi gua udah ga beli lagi krna produk boikot",positif
Tue Dec 26 08:04:13 +0000 2023,"Yuk jangan sampai salah sasaran boikot produk/perusahaan. karena supaya lebih efektif perlu juga strategi & selektif",netral
Tue Dec 26 08:04:13 +0000 2023,"Maaf ga bisa bgt boikot Coca cola soalnya minuman wajib saat hari raya hehe",negatif
Tue Dec 26 08:04:13 +0000 2023,"Momen untuk up produk lokal. Yuk boikot teruuss",positif
Tue Dec 26 08:04:13 +0000 2023,"udahlah gausa sok Sokan boikot kalau masih nongkrong di Starbucks",negatif
Tue Dec 26 08:04:13 +0000 2023,"Gak usah boikot2 produk yg bukan dari bds jadinya mlh gk efektif",negatif
Tue Dec 26 08:04:13 +0000 2023,"Yuk gaes pastiin produk yg diboikot itu sesuai sama bds",netral
Tue Dec 26 08:04:13 +0000 2023,"Dukung produk lokal yang sebelumnya terkena boikot, karena banyak yang dirugikan akibat boikot yang tidak tepat.",netral
Tue Dec 26 08:04:13 +0000 2023,"Meski blm dukung semua produk isriwil boikot tp mcd,kfc,burger king, dunkin, pizza, rinso, sunlight n bbrp udh stop sama sekali..",positif
Tue Dec 26 08:04:13 +0000 2023,"Untung ga gampang ke makan sama hoax. Jadi ga asal boikot produk. Apalagi aqua jelas banget mendukung palestina. Stop boikot aqua",negatif
Tue Dec 26 08:04:13 +0000 2023,"Eh yupi boleh nggak sih apa termasuk produk boikot juga ??",netral
Tue Dec 26 08:04:13 +0000 2023,"Semangat dukung boikot produk zionis",positif
Tue Dec 26 08:04:13 +0000 2023,"Akhirnya aku bisa balik minum Aqua dengan tenang. Yuk stop boikot produk ini",negatif
Tue Dec 26 08:04:13 +0000 2023,"Produk unilever masuk produk boikot ga?",netral
Tue Dec 26 08:04:13 +0000 2023,"kenapa ga nyari info ya tentang produk yg di boikot, stress bgt mikirin boikot produk yang ga efektif ini",negatif
Tue Dec 26 08:04:13 +0000 2023,"Satu keluarga sudah boikot produk Israel, kek Aqua, McD udah gak bakal kami beli beli",positif
Tue Dec 26 08:04:13 +0000 2023,"Fanta tuh produk boikot kah?",netral
Tue Dec 26 08:04:13 +0000 2023,"Gue terkadang udah boikot produk.. Tp kadang ya msh beli soalnya blm Nemu penggantinya",netral
Tue Dec 26 08:04:13 +0000 2023,"Yuk Boikot Starbucks ganti kopi kenangan dan kopi Nusantara, cintai produk dalam negeri anti penjajahan 😀",positif
Tue Dec 26 08:04:13 +0000 2023,"yeyeyeye 💃🏻 akhirnya terkuak fakta kalo aqua dukung palestina jadi kan ga perlu boikot produk nya deh",negatif
Tue Dec 26 08:04:13 +0000 2023,"Yok semangat boikot McD dan kfc gaes. Lagian banyak kok produk lokal yang setara",positif
Tue Dec 26 08:04:13 +0000 2023,"Nohhh SAH aqua bukan produk boikot, jgn percaya hoax lagi ya",negatif
Tue Dec 26 08:04:13 +0000 2023,"Jangan lupa boikot Dunkin Donat yah guys...",positif
Tue Dec 26 08:04:13 +0000 2023,"Gw sih kadang masih beli aqua, kan di list gada ya? Jadi gw fifty2 aja lah😁",netral
Tue Dec 26 08:04:13 +0000 2023,"Mari kita boikot Israel melalui produk produknya yg ada di NKRI !!!",positif
Tue Dec 26 08:04:13 +0000 2023,"Tau ga si, Aqua tuh produk lokal made in indonesia lhoh, ngapain juga kalian boikot, ga ada bukti valid kalau pro ke isriwil",negatif
Tue Dec 26 08:04:13 +0000 2023,"Gas boikot McD, kfc jgn kasih kendor.",positif
Tue Dec 26 08:04:13 +0000 2023,"Ah susah bgt mau ganti produk sehari-hari yg kena boikot, dahlah gw ga ikutan tuh boikot",negatif
Tue Dec 26 08:04:13 +0000 2023,"Saya sebagai orang yg tau starbucks itu ga enak, dan boikot aqua. Saya ga punya hak juga buat ngelarang orang orang pake produk ini siapapun mereka. Ngasih tau aja sekali, tapi kalo tetep pake yaudah.",netral
Tue Dec 26 08:04:13 +0000 2023,"Sbnrnya kalo ga bisa ganti produknya si gapapa sambil ikhtiar cari penggantinya. Klo gw si gamau ribet dan males boikot yg susah cari gantinya",negatif
Tue Dec 26 08:04:13 +0000 2023,"Kebutuhan hidupku banyak yg dari produk boikot, tapi biarin aja aku tetep pake, disini gak ngaruh apa2",negatif
Tue Dec 26 08:04:13 +0000 2023,"Semangat saudara² yang peduli dengan kemanusiaan. Boikot produk israel @McDonalds_ID, @SbuxIndonesia.",positif
Tue Dec 26 08:04:13 +0000 2023,"Saya sih ga peduli sama konflik israel palestine, dan ga ikut2an boikot produk apapun. Beda sama orng yg teriak peduli palestine sambil boikat boikot tapi tetep jadi donatur. Sungguh hiprokit 🤣",negatif
Tue Dec 26 08:04:13 +0000 2023,"lu boikot starbuck karena harganya mahal, tapi lu haus dikasih aqua juga lu bakal minum padahal itu produk sama sama pro israel, kenapa harus pilih pilih boikot, boikot ini kesadaran pribadi mba even artis yang lu suka up produk israel kalau dari lu sendiri boikot lu ga akan beli",negatif
Tue Dec 26 08:04:13 +0000 2023,"orang yg beli starbuck atau aqua belum tentu dukung israel jadi jangan fitnah mereka dukung israel, siapa aja boleh dukung palestina dgn caranya sendiri tapi jangan maksa orang boikot produk tertentu, kalian goblok kalo maksa orang boikot ini itu",netral
Tue Dec 26 08:04:13 +0000 2023,"Aku bener-bener gak paham sama gerakan boikot beginian. Produk-produknya kan buatan Indonesia semua.",netral
Tue Dec 26 08:04:13 +0000 2023,"Sebenarnya bagus sekali kalo mau jadi kaum militan soal boikot produk Israel. Tapi bagiku tetep harus mempertimbangkan fungsionalnya juga.",netral
Tue Dec 26 08:04:13 +0000 2023,"Tetap boikot, ganti ke produk lokal Indonesia.",positif
Tue Dec 26 08:04:13 +0000 2023,"Siap kakk sejauh ini juga aku ga pernah ikut boikot yg beredar di tiktok apalagi kalo itu produk Indonesia asli",negatif
Tue Dec 26 08:04:13 +0000 2023,"Apakah Oreo dan Biskuat Bagian Dari Israel? Selektif Dalam Memilih Produk Pada Gerakan Boikot",netral
Tue Dec 26 08:04:13 +0000 2023,"Selain itu, sebagai warning juga kepada perusahaan2 itu untuk tidak memberikan support ke penjajah zionis. Efek samping dari boikot itu ya UMKM dan produk lokal lainnya yang serupa bisa lebih naik.",positif
Tue Dec 26 08:04:13 +0000 2023,"Sekali lagi aku bilang, kalau ini bukan soal agama tapi soal KEMANUSIAAN!! ayo terus boikot idol idol yang mengkonsumsi produk produk boikot dan terus boikot produk yang masuk ke dalam daftar produk boikot!!! Idol kalian enak bisa makan, tidur, dan istirahat dengan tenang!!",positif
Tue Dec 26 08:04:13 +0000 2023,"Oh iy fyi produk yg diboikot kyk MCD itu ga berafiliasi sama israel sama sekali n msh bnyk produk israel yg dipake kyk pesawat tempur tp kalian ga boikot kn?",netral
Tue Dec 26 08:04:13 +0000 2023,"Gw justru bingung trs yg dharepin dr boikot tu apa? Zionis keabisan duit?? Kaga mungkin slm amrika msh cetak dollar! lo mw  boikot ya silakan, orng mw minum makan mcd silakan,klian msh pk  produk  amerika tp nyerang orang yg knsumsi starbuck ya t*l*l!",negatif
Tue Dec 26 08:04:13 +0000 2023,"iya bener, kata gw juga mau makan apaan kek produk boikot gw gak peduli tapi ya keep it private aja lah. jangan kayak org tone deaf gitu. 😅",negatif
Tue Dec 26 08:04:13 +0000 2023,"Apakah akan ada PHK besar2an terhadap para karyawan produk yg kena boikot saat sales mereka minus?",netral
Tue Dec 26 08:04:13 +0000 2023,"Gue bakal kecewa bgt sih kalo mereka terlibat sama produk boikot :(",negatif
Tue Dec 26 08:04:13 +0000 2023,"Dampak langsung boikot produk zionis, produk lokal berkembang cerah.",positif
Tue Dec 26 08:04:13 +0000 2023,"Kalau saya udh tau list produk yg diboikot tapi gak boikot sb dan mcd gpp kan?",netral
Tue Dec 26 08:04:13 +0000 2023,"semisal kalian memang udah terlanjur pakai barangnya yaudah dipergunakan aja sampai rusak (laptop/sepatu). boikot disini ditujukan untuk mengingatkan kita agar kedepannya kita tidak lagi membeli/mengonsumsi produk-produk tersebut. makasiii cmiiw🙏🙏🙏",netral
Tue Dec 26 08:04:13 +0000 2023,"Setuju bang boikot starbuck. Tp tau ga bang knp produk umkm ngegaji karyawannya di bawah UMR? itu karna mereka kalah saing sm produk luar itu jd pendapatannya sedikit. Banyak org yg beli starbuck itu cuma buat gaya gayaan doang",positif
Tue Dec 26 08:04:13 +0000 2023,"Minum produk apapun preferensi pribadi, klo boikot boikot sendiri aja. Jangan suka ngatur hidup orang pakai standar yg kita yakini.",netral
Tue Dec 26 08:04:13 +0000 2023,"Boikot juga efektif untuk mendorong produk UMKM lokal. Kapan lagi produk UMKM bisa bersaing dengan waralaba yg udh skala internasional.",positif
Tue Dec 26 08:04:13 +0000 2023,"aku liat di bds keknya produk sunlight aman ga masuk boikot",negatif
Tue Dec 26 08:04:13 +0000 2023,"satu2nya cara yg bisa dilakukan ya gausah beli produknya, real boikot walaupun se bagus apapun itu produk colabnya.",positif
Tue Dec 26 08:04:13 +0000 2023,"Emang klo boikot produk yg kata lu produk Israel dinegara ini, dampaknya ke Israel apa ya kak?",netral
Tue Dec 26 08:04:13 +0000 2023,"hak konsumen lah mau beli produk yg mana termasuk boikot produk tertentu. Buat gua justru boikot ini nyelametin dompet banget & bikin melek produk lokal yg sama bagus dan lebih terjangkau. Lu mau ngebacot apa gua gak peduli🤣🤣",positif
Tue Dec 26 08:04:13 +0000 2023,"Masih ngomong masalah boikot... boikot itu gak sesederhana yg kau pikirkan. Misalnya produk A diboikot padahal pabriknya juga ada di Indonesia...klo itu terjadi berarti akan ada PHK besar-besaran...trus kamu bisa gak nampung untuk kasih kerjaan...mikir...",negatif
Tue Dec 26 08:04:13 +0000 2023,"Banned aja itu zionis, tetap Boikot produk pro zionis🫵",positif
Tue Dec 26 08:04:13 +0000 2023,"sampai sekarang saya tidak menemukan produk sbux mcd kfc dll mendukung isriwil, sbux indonesia mengkonfirmasi di IG nya, MCD menyumbang 1,5 m ke palestine, dan masih di boikot, tutup mata kah bang??",negatif
Tue Dec 26 08:04:13 +0000 2023,"Biasanya si pake royco. Tp karna dia masuk list boikot, jadi sorry to say gw boikot tuh produk",positif
Tue Dec 26 08:04:13 +0000 2023,"Gw jg tetep make produk Israel  terlepas dri boikot2 itu. Karna gw emg ngerasa cocok,  pernah sekali pake produk yg ga pro Israel rasa nya beda bgt.",negatif
Tue Dec 26 08:04:13 +0000 2023,"Kalian ga mikir berapa  ribu orang Indonesia  akan kehilangan mata pencaharian dr produk yg kalian boikot. Belum petani kopi dan petani2 lain yg supply kebutuhan utk produk mereka.Mikir gaaa ???? Btw .. mau nanya kalian  pernah jajan tempat itu ?",negatif
Tue Dec 26 08:04:13 +0000 2023,"Alhamdulillah masihh semangat boikot, sebel bgt klo ngeliat temen sendiri masih mengkonsumsi produk boikot padahal udh tau itu lagi diboikot😤",positif
Tue Dec 26 08:04:13 +0000 2023,"ternyata udah ada fatwa MUI ya soal boikot produk. utk skincare make up dan body-hair-personal care sih gak repot krn udah setahun hijrah pake oriflame. yg agak peer nih makanan https://t.co/04rJYHoRCq",positif
Tue Dec 26 08:04:13 +0000 2023,"jd sekarang pake masako karena yang sebelah di boikot",negatif
Tue Dec 26 08:04:13 +0000 2023,"balik lagi boikot enggak itu hak pribadi kak. terserah followernya mau ikut enggak, jangan dihakimi juga buat yang belum bisa boikot total, selagi pendirian kuat gak akan terpengaruh ajakan pake produk. kalau kamu udah bs total boikot itu bagus, kampanye mulai dengan cara halus",netral
Tue Dec 26 08:04:13 +0000 2023,"Nder ijin nanya, kalo boikot gitu tuh emang ngaruh yaa bcz imo kalo cuma boikot mcd dll tapi kitanya masih main instagram dan aku mikirnya kasian juga yang kerja juga pasti nanti terkena dampaknya, nahh itu gimana ya nder jujur aku kurang paham tentang ini...",netral
Tue Dec 26 08:04:13 +0000 2023,"Yang ga mau ikut boikot malah lebih maksa daripada yang ikut boikot. At least yang ngajak boikot alasannya kuat. Yang ngajak ga boikot alasannya dibuat-buat. Yang ngajak boikot maksa? Elah selama lu ga tone deaf orang biasa aja.",netral
Tue Dec 26 08:04:13 +0000 2023,"dulu royco, trs kena boikot kan dia(?)",positif
Tue Dec 26 08:04:13 +0000 2023,"gue syg bgt sm nct gmn dong, gabisa boikot mereka... gue mau boikot produk nya aja yg collab sm produk zionis 😞 maaf. .",negatif
Tue Dec 26 08:04:13 +0000 2023,"Mana ya list produk boikot mau belanja bulanan",netral
Tue Dec 26 08:04:13 +0000 2023,"Guys masih tetap boikot produk atau komoditas yg berafiliasi dengan Zionis Israel kan? FYI bahwa setiap harinya Zionis Israel harus mengeluarkan anggaran sebanyak $260 Juta. Artinya sampai hari ini mereka sudah mengeluarkan anggaran sebesar $10 14 Milyar. Belum lagi mereka https://t.co/kfliPPVzVb",positif
Tue Dec 26 08:04:13 +0000 2023,"Terima kasih tak terhingga tuk para pejuang maya yang senantiasa: Tetap semangat boikot produk zionis n gerombolannya Tetap julid di akun zionis mancung pesek dan mingslep Tetap berdoa demi kebaikan dan kemuliaan rakyat Palestina Tetap sadar dan bertagar #FreePalestine ️ https://t.co/wcPbDBrPsl",positif
Tue Dec 26 08:04:13 +0000 2023,"Adanya kabar ini makin semangat untuk ikutan menyebarkan ke dunia medsos bahwa Aqua itu Pro Palestina jadi gak perlu takut-takut lagi untuk konsisten mengkonsumsi sehari-hari Aqua dimanapun kita berada, gak zamannya boikot produknya Danone 🙂👌🙏",negatif
Tue Dec 26 08:04:13 +0000 2023,"Bersyukur bener bangtan wamil rest smuanya kaga kena boikot grgr dukung produk isriwil wkwkw",netral
Tue Dec 26 08:04:13 +0000 2023,"Karena sudah nyata-nyata Aqua itu Pro Palestina jadi gak ada lagi alasan untuk boikot produknya Danone justru sebaliknya harus semangat untuk terus konsumsi dan sebarkan informasi ini ke masyarakat luas agar tidak terjebak di hoax ataupun fitnah 🙂👌🙏 jgn boikot ini produk ya",negatif
Tue Dec 26 08:04:13 +0000 2023,"Saham Unilever Tertekan di Tengah Aksi Boikot Produk Pro-Israel https://t.co/jjiYWMTerV. Gas tetep boikot yah temen temen",positif
Tue Dec 26 08:04:13 +0000 2023,"hokben produk yang di boikot juga ga?",netral
Tue Dec 26 08:04:13 +0000 2023,"Padahal burger king nih enak loh patty nya juga juicy gendut-gendut Mereka juga bukan produk yg masuk boikot kan yah?",netral
Tue Dec 26 08:04:13 +0000 2023,"Ayo semangat lagi aksi boikot produk Zionis. Jangan kasi kendor sebelum Palestina terbebas dari penjajahan Teroris Zionis..",positif
Tue Dec 26 08:04:13 +0000 2023,"Sempet bimbang konsumsi Aqua lagi apa enggak. Habis liat faktanya makin yakin, gak akan gue boikot. Emang harus hati² sama hoax, jgn sampe percaya",negatif
Tue Dec 26 08:04:13 +0000 2023,"Saya berharap gerakan boikot produk yang mendukung Zi0nis yang masif dan terstruktur bisa naik level kepada pendirian pasar yang mandiri dan penguasaan faktor produksi itu sendiri sehingga hasilnya lebih impactful and sustainable. Demi kemanusiaan",positif
Tue Dec 26 08:04:13 +0000 2023,"Domino pizza aman ga ya?",netral
Tue Dec 26 08:04:13 +0000 2023,"Yok bisa yok boikot produk zionis!!! Konsisten yook Bikin mereka kalah sekalah-kalahnyaaa!!!! Mau liat kehancuran mereka di dunia #FreePalaestin #FreeGaza",positif
Tue Dec 26 08:04:13 +0000 2023,"Emangggggg percuma kata gue mah lu pada boikot produk kalo omongan sikap ketikan lu pada persis mirip bgt zionis",negatif
Tue Dec 26 08:04:13 +0000 2023,"Ada hikmahnya juga ternyata rumahku jauh dari kota. Boikot atau ga boikot terasa sama. Tapi krn skrg udah paham ke depannya sepertinya ga beli nih produk lagi deh..",positif
Tue Dec 26 08:04:13 +0000 2023,"Gmn kak, yg sudh beli produknya? sudah tdk bisa d konsumsi lagi? atw bgmna kak?",netral
Tue Dec 26 08:04:13 +0000 2023,"Amin, akhirnya yang benar bahwa Aqua itu Pro Palestina jadi tidak ada gunanya lagi ikut-ikutan untuk boikot produknya Danone. Makin bijak dan berhati-hati agar tidak ikutan nyebarin fitnah soal Aqua👌🙏",negatif
Tue Dec 26 08:04:13 +0000 2023,"Jadi bener-bener serius nih efek boikot Agresi dan genosida Israel di Palestina yang sudah berlangsung 2 bulan memunculkan gerakan boikot. Aksi boikot semakin membesar usai Majelis Ulama Indonesia (MUI) mengeluarkan fatwa haram membeli produk dari produsen yang nyata https://t.co/5urvxpYVYX",positif
Tue Dec 26 08:04:13 +0000 2023,"MENURUT SAYA BOIKOT BUKAN SOLUSI, MEMANG BENAR DENGAN BOIKOT DAPAT MEMBANTU MENGURANGI PENDAPATAN NEGARA MEREKA",negatif
Tue Dec 26 08:04:13 +0000 2023,"Sejak dl yg namanya boikot itu g ada bangkrutin perusahaan, boikot itu simbol perlawanan tanpa kekerasan yg bisa dilakukan org awam.",positif
Tue Dec 26 08:04:13 +0000 2023,"aku mikirnya malah ntar kalo di boikot cth mcd, ntar penghasilan mereka turun terus akhirnya mecat pegawainya. apa nggak kasihan sama pegawainya?",negatif
Tue Dec 26 08:04:13 +0000 2023,"Valid ga nih sumber infonya kalo nestle tuh di boikot?",netral
Tue Dec 26 08:04:13 +0000 2023,"Boikot ini, kira2 akan pngaruh sama pekerja di indo ga?? kyk nambah angka pengangguran mgkn??",netral
Tue Dec 26 08:04:13 +0000 2023,"boikot itu bukan berhenti menggunakan suatu produk, tapi berhenti membelinya, jika sudah terlanjur beli sebelumnya ya pake aja sampe habis/rusak",netral
Tue Dec 26 08:04:13 +0000 2023,"please gais lanjut boikot🙏🏻 tahan godaan promo,apa kalian ga punya rasa empati sedikitpun liat saudara2 di Palestine🙏😢.kita cm ganti merek brg aja",positif
Tue Dec 26 08:04:13 +0000 2023,"ternyata indofood pro israel😭😭😭, tapi aku masih make soalnya produk indofood lebih enak",negatif
